session_id,user_id,session_start,session_end,page_views,session_duration_seconds,traffic_source,device_type,browser,country
SES001,USR001,2024-01-15 09:30:00,2024-01-15 09:45:30,8,930,google,desktop,chrome,USA
SES002,USR002,2024-01-15 10:15:20,2024-01-15 10:22:45,3,445,direct,mobile,safari,USA
SES003,USR003,2024-01-15 11:00:10,2024-01-15 11:25:35,12,1525,facebook,desktop,firefox,UK
SES004,USR004,2024-01-15 14:20:00,2024-01-15 14:31:15,5,675,email,tablet,chrome,Canada
SES005,USR005,2024-01-15 16:45:30,2024-01-15 17:12:20,15,1610,google,desktop,edge,Australia
SES006,USR001,2024-01-16 08:30:00,2024-01-16 08:42:30,6,750,direct,mobile,chrome,USA
SES007,USR006,2024-01-16 12:15:45,2024-01-16 12:28:10,4,745,twitter,desktop,chrome,Spain
SES008,USR007,2024-01-16 15:30:20,2024-01-16 15:55:45,18,1525,google,desktop,firefox,Germany
SES009,USR002,2024-01-16 19:20:00,2024-01-16 19:35:30,7,930,youtube,mobile,safari,USA
SES010,USR008,2024-01-17 10:45:15,2024-01-17 11:02:20,9,1025,linkedin,desktop,chrome,France
SES011,USR009,2024-01-17 13:30:00,2024-01-17 13:48:45,11,1125,google,tablet,safari,Japan
SES012,USR003,2024-01-17 16:15:30,2024-01-17 16:42:15,14,1605,direct,desktop,firefox,UK
SES013,USR010,2024-01-18 09:00:00,2024-01-18 09:18:30,6,1110,bing,mobile,edge,Brazil
SES014,USR004,2024-01-18 11:45:20,2024-01-18 12:15:45,13,1825,email,desktop,chrome,Canada
SES015,USR011,2024-01-18 14:30:10,2024-01-18 14:52:35,8,1345,instagram,tablet,safari,Italy
SES016,USR005,2024-01-19 08:15:00,2024-01-19 08:38:20,10,1400,google,desktop,edge,Australia
SES017,USR012,2024-01-19 12:00:30,2024-01-19 12:25:15,7,1485,reddit,mobile,chrome,Netherlands
SES018,USR006,2024-01-19 15:45:45,2024-01-19 16:12:30,16,1605,direct,desktop,chrome,Spain
SES019,USR013,2024-01-20 10:30:00,2024-01-20 10:55:20,12,1520,google,tablet,firefox,Sweden
SES020,USR007,2024-01-20 13:15:30,2024-01-20 13:42:45,9,1635,tiktok,mobile,safari,Germany
